timestamp,vehicle_id,mileage,battery_voltage,fuel_level,engine_temperature,dtc_code
2026-05-31T17:13:24.647785,bmw_335i,44529.0,13.92,72.0,209,P0301
2026-05-31T17:13:28.513093,bmw_335i,44536.0,13.64,67.0,207,
2026-05-31T17:13:29.286717,bmw_335i,44548.0,14.18,62.0,219,P0301
2026-05-31T17:13:29.904456,bmw_335i,44571.0,13.02,62.0,181,P0455
2026-05-31T17:13:30.331845,bmw_335i,44608.0,12.92,54.0,194,P0171
2026-05-31T17:13:31.528609,bmw_335i,44623.0,12.6,52.0,196,P0301
2026-05-31T17:13:31.889708,bmw_335i,44642.0,12.79,51.0,214,P0455
2026-05-31T17:13:32.246952,bmw_335i,44675.0,12.18,46.0,201,
2026-05-31T17:38:30.186964,bmw_335i,44685.0,12.86,43.0,196,P0171
2026-06-03T16:44:28.917103,bmw_335i,44705.0,12.71,35.0,172,P0171
2026-06-03T16:44:31.308261,bmw_335i,44724.0,13.26,32.0,182,P0171
2026-06-03T16:44:31.533347,bmw_335i,44742.0,12.32,32.0,190,P0455
2026-06-03T16:44:31.706305,bmw_335i,44761.0,13.32,31.0,181,
2026-06-03T16:44:31.874422,bmw_335i,44778.0,12.4,25.0,199,P0171
2026-06-03T16:44:32.054932,bmw_335i,44807.0,12.35,23.0,182,P0420
2026-06-03T16:44:32.635699,bmw_335i,44828.0,12.11,23.0,172,P0171
2026-06-03T16:44:32.890646,bmw_335i,44859.0,13.25,23.0,194,
2026-06-04T21:07:17.936265,toyota_supra_2025_1780632434,14017.0,12.62,44.0,181,P0420
